idx,name,n_ops,bks,feasible,makespan,missing_op_count,routing_order_violations,machine_capacity_violations,timing_consistency_violations,precedence_violations,total_violations,ops_emitted,ops_expected,gen_time_s
186,,81,1599,False,1840,0,0,2,0,0,2,81,81,14.25
187,,35,829,True,865,0,0,0,0,0,0,35,35,5.62
188,,80,1564,True,1598,0,0,0,0,0,0,80,80,13.89
189,,80,1682,True,1915,0,0,0,0,0,0,80,80,14.25
190,,50,1375,True,1423,0,0,0,0,0,0,50,50,8.57
191,,24,817,True,828,0,0,0,0,0,0,24,24,3.84
192,,56,1458,True,1626,0,0,0,0,0,0,56,56,9.67
193,,15,543,True,543,0,0,0,0,0,0,15,15,2.4
194,,6,1121,True,1121,0,0,0,0,0,0,6,6,1.03
195,,45,1243,True,1404,0,0,0,0,0,0,45,45,7.51
196,,9,861,True,878,0,0,0,0,0,0,9,9,1.47
197,,36,360,True,403,0,0,0,0,0,0,36,36,5.72
198,,56,2965,True,3545,0,0,0,0,0,0,56,56,10.06
199,,21,431,True,493,0,0,0,0,0,0,21,21,3.35
